"","TopicID","Word","Region","Year"
"1",1,"rocket","RC CAPITAL","2004"
"2",1,"phoenix","RC CAPITAL","2004"
"3",1,"isaf","RC CAPITAL","2004"
"4",2,"gctf)","RC CAPITAL","2004"
"5",2,"(s//rel","RC CAPITAL","2004"
"6",2,"police","RC CAPITAL","2004"
"7",3,"coalition","RC CAPITAL","2004"
"8",3,"found","RC CAPITAL","2004"
"9",3,"(s//rel","RC CAPITAL","2004"
"10",4,"found","RC CAPITAL","2004"
"11",4,"rockets","RC CAPITAL","2004"
"12",4,"cache","RC CAPITAL","2004"
"13",5,"rocket","RC CAPITAL","2004"
"14",5,"42s","RC CAPITAL","2004"
"15",5,"ivo","RC CAPITAL","2004"
"16",6,"82mm","RC CAPITAL","2004"
"17",6,"salt","RC CAPITAL","2004"
"18",6,"update","RC CAPITAL","2004"
"19",7,"42s","RC CAPITAL","2004"
"20",7,"poo","RC CAPITAL","2004"
"21",7,"gctf)","RC CAPITAL","2004"
"22",8,"eod","RC CAPITAL","2004"
"23",8,"cache","RC CAPITAL","2004"
"24",8,"rpg","RC CAPITAL","2004"
"25",9,"isaf","RC CAPITAL","2004"
"26",9,"42s","RC CAPITAL","2004"
"27",9,"rocket","RC CAPITAL","2004"
"28",10,"corolla","RC CAPITAL","2004"
"29",10,"afghan","RC CAPITAL","2004"
"30",10,"approximately","RC CAPITAL","2004"
"31",1,"damage","RC EAST","2004"
"32",1,"personnel","RC EAST","2004"
"33",1,"injuries","RC EAST","2004"
"34",2,"rocket","RC EAST","2004"
"35",2,"rockets","RC EAST","2004"
"36",2,"attack","RC EAST","2004"
"37",3,"42s","RC EAST","2004"
"38",3,"update:","RC EAST","2004"
"39",3,"att.","RC EAST","2004"
"40",4,"gctf)","RC EAST","2004"
"41",4,"(s//rel","RC EAST","2004"
"42",4,"police","RC EAST","2004"
"43",5,"cache","RC EAST","2004"
"44",5,"82mm","RC EAST","2004"
"45",5,"mortar","RC EAST","2004"
"46",6,"ied","RC EAST","2004"
"47",6,"eod","RC EAST","2004"
"48",6,"site","RC EAST","2004"
"49",7,"found","RC EAST","2004"
"50",7,"gctf)","RC EAST","2004"
"51",7,"(s//rel","RC EAST","2004"
"52",8,"oda","RC EAST","2004"
"53",8,"fire","RC EAST","2004"
"54",8,"contact","RC EAST","2004"
"55",9,"42s","RC EAST","2004"
"56",9,"update","RC EAST","2004"
"57",9,"following","RC EAST","2004"
"58",10,"cache","RC EAST","2004"
