Token	Occurrences	Frequency	BaselineFrequency
ussf	321	3.70812675832786e-05	8.91952901561328e-08
finds	206	2.37967013151259e-05	3.02506668029526e-05
cache	6682	0.000771891059163451	1.48434426259829e-05
in	108095	0.0124869147022259	0.019640008549419
village	10716	0.00123789054025674	0.000241305235542395
of	165818	0.0191549583430657	0.0310369468466989
walu	2	2.31035935098309e-07	3.19756700559721e-08
tangay	37	4.27416479931872e-06	3.3658600058918e-09
conducted	11646	0.00134532225007745	4.0752150021335e-05
a	171194	0.01977598293661	0.016175756040905
meet	1268	0.000146476782852328	5.31452465630286e-05
and	216835	0.0250483384935209	0.0211305056041081
greet	76	8.77936553373575e-06	1.5398809526955e-06
the	413194	0.0477313310835054	0.0527892378672754
members	1929	0.000222834159402319	0.000347225484067804
were	49784	0.00575094649646711	0.00249906354201451
approached	1096	0.000126607692433873	1.29232194926216e-05
by	34296	0.00396180421506581	0.00532090296101403
local	8851	0.00102244953077757	0.000308614021010216
boy	380	4.38968276686788e-05	7.50081902312988e-05
who	8196	0.000946785262032871	0.00130937339605201
spoke	925	0.000106854119982968	1.8695669402726e-05
cave	935	0.00010800929965846	2.51025839239411e-05
on	71038	0.00820616537875685	0.00559573384514511
nearby	882	0.000101886847378354	6.20142876785535e-05
hill	1192	0.000137697417318592	0.00015905539750842
investigated	811	9.36850716823644e-05	7.57150208325361e-06
found	17199	0.00198679352387791	0.000298526538572559
consisting	2214	0.000255756780153828	3.05468624834711e-05
thirteen	31	3.58105699402379e-06	1.48585889960094e-05
mm	47472	0.00548386895549347	0.000147624936928412
mortar	7926	0.0009155954107946	6.34969490111489e-06
rounds	13536	0.00156365120874536	1.72298373701601e-05
sixty	21	2.42587731853225e-06	1.11780210795667e-05
rpg	13005	0.00150231116797676	7.32411137282056e-06
fifteen	69	7.97073976089167e-06	1.59121031778535e-05
boxes	534	6.16865946712486e-05	1.22466816314373e-05
x	106749	0.0123314275179047	0.000482024811443765
ammo	1968	0.000227339360136736	9.27294431623192e-07
per	1152	0.000133076698616626	0.000289228350306283
